SF;Dose (Gy);Cellcycle;Hypoxia;SE;SF (mean)
0.496;0.83;M;No;0.058292367;0.432
0.244;1.63;M;No;0.028241026;0.204666667
0.122;2.45;M;No;0.026398653;0.092666667
0.033;3.23;M;No;0.010913702;0.030233333
0.012;4.16;M;No;0.004235039;0.010633333
0.445;0.83;M;No;0.058292367;0.432
0.179;1.63;M;No;0.028241026;0.204666667
0.058;2.45;M;No;0.026398653;0.092666667
0.0157;3.23;M;No;0.010913702;0.030233333
0.0049;4.16;M;No;0.004235039;0.010633333
0.355;0.83;M;No;0.058292367;0.432
0.191;1.63;M;No;0.028241026;0.204666667
0.098;2.45;M;No;0.026398653;0.092666667
0.042;3.23;M;No;0.010913702;0.030233333
0.015;4.16;M;No;0.004235039;0.010633333
1;0;G1;No;0;1
0.722;1.63;G1;No;0.123663859;0.6415
0.267;3.23;G1;No;0.062781367;0.313
0.095;4.85;G1;No;0.036710864;0.13775
0.0274;6.45;G1;No;0.011769877;0.0321
0.003;8.55;G1;No;0.001382706;0.002775
1;0;G1;No;0;1
0.845;0.83;G1;No;0.084864598;0.799
0.62;1.63;G1;No;0.123663859;0.6415
0.42;2.45;G1;No;0.063923565;0.452666667
0.26;3.23;G1;No;0.062781367;0.313
0.121;4.85;G1;No;0.036710864;0.13775
0.042;6.45;G1;No;0.011769877;0.0321
0.0042;8.55;G1;No;0.001382706;0.002775
1;0;G1;No;0;1
0.68;0.83;G1;No;0.084864598;0.799
0.45;1.63;G1;No;0.123663859;0.6415
0.396;2.45;G1;No;0.063923565;0.452666667
0.308;3.23;G1;No;0.062781367;0.313
0.14;4.85;G1;No;0.036710864;0.13775
0.015;6.45;G1;No;0.011769877;0.0321
0.0005;8.55;G1;No;0.001382706;0.002775
1;0;G1;No;0;1
0.872;0.83;G1;No;0.084864598;0.799
0.774;1.63;G1;No;0.123663859;0.6415
0.542;2.45;G1;No;0.063923565;0.452666667
0.417;3.23;G1;No;0.062781367;0.313
0.195;4.85;G1;No;0.036710864;0.13775
0.044;6.45;G1;No;0.011769877;0.0321
0.0034;8.55;G1;No;0.001382706;0.002775
1;0;S;No;0;1
0.833;0.83;S;No;0.134384476;0.67575
0.328;2.45;S;No;0.119230868;0.268
0.077;4.16;S;No;0.03366285;0.07025
0.0281;4.85;S;No;0.026577846;0.042825
0.0036;6.45;S;No;0.000478423;0.003833333
1;0;S;No;0;1
0.76;0.83;S;No;0.134384476;0.67575
0.52;1.63;S;No;0.201163284;0.55
0.224;2.45;S;No;0.119230868;0.268
0.074;4.16;S;No;0.03366285;0.07025
0.062;4.85;S;No;0.026577846;0.042825
